NSIC_RC_222,NSIC_RC_192,NSIC_RC_11,NSIC_RC_120,NSIC_RC_396,NSIC_RC_350,NSIC_RC_410,NSIC_RC_100,NSIC_RC_102,NSIC_RC_242,NSIC_RC_56,NSIC_RC_12,NSIC_RC_42,NSIC_RC_442,NSIC_RC_510,Land_area,Max_rain,Max_Temp,Humidity,Seeds_qty,Tot_yield
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9.3,34.6,85,2800,280
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,142,9.3,34.6,85,8520,568
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,194,9.3,34.6,85,11640,853.6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86,9.3,34.6,85,6880,430
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,9.3,34.6,85,2700,270
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79,9.3,34.6,85,6320,616.2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,9.3,34.6,85,5120,544
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87,9.3,34.6,85,6960,374.1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,9.3,34.6,85,600,40
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,9.3,34.6,85,1760,107.8
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,9.3,34.6,85,4380,430.7
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,141,9.3,34.6,85,7050,662.7
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,9.3,34.6,85,3430,176.4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129,9.3,34.6,85,6450,941.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,9.3,34.6,85,2640,237.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,16.6,35.2,88,4320,324
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,16.6,35.2,88,5160,369.8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,16.6,35.2,88,4740,355.5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142,16.6,35.2,88,11360,795.2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,16.6,35.2,88,5640,629.8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135,16.6,35.2,88,10800,1012.5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117,16.6,35.2,88,9360,947.7
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78,16.6,35.2,88,6240,382.2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,108,16.6,35.2,88,6480,496.8
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,122,16.6,35.2,88,9760,549
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95,16.6,35.2,88,5700,503.5
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101,16.6,35.2,88,5050,464.6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,16.6,35.2,88,2240,124.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129,16.6,35.2,88,6450,1006.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133,16.6,35.2,88,10640,1024.1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,37,81,6720,504
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,37,81,4800,320
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112,1,37,81,6720,492.8
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,1,37,81,7760,582
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121,1,37,81,7260,847
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85,1,37,81,6800,578
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,1,37,81,5840,474.5
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,1,37,81,5120,288
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,1,37,81,5580,399.9
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,134,1,37,81,10720,589.6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,122,1,37,81,7320,841.8
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,1,37,81,3900,444.6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,1,37,81,3920,257.6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119,1,37,81,5950,904.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,1,37,81,7840,607.6
