Year,Month,Seed_Variety,Land_area,Max_rain,Max_Temp,Humidity,Seeds_qty,Tot_yield
2016,1,NSIC RC 222,87,0.6,35.8,84,6960,565.5
2016,1,NSIC RC 192,92,0.6,35.8,84,5520,368
2016,1,NSIC RC 11,85,0.6,35.8,84,5100,374
2016,1,NSIC RC 120,87,0.6,35.8,84,6960,435
2016,1,NSIC RC 396,94,0.6,35.8,84,5640,564
2016,1,NSIC RC 350,82,0.6,35.8,84,6560,639.6
2016,1,NSIC RC 410,82,0.6,35.8,84,6560,697
2016,1,NSIC RC 100,82,0.6,35.8,84,6560,352.6
2016,1,NSIC RC 102,84,0.6,35.8,84,5040,336
2016,1,NSIC RC 242,86,0.6,35.8,84,6880,421.4
2016,1,NSIC RC 56,94,0.6,35.8,84,5640,554.6
2016,1,NSIC RC 12,86,0.6,35.8,84,4300,404.2
2016,1,NSIC RC 42,94,0.6,35.8,84,6580,338.4
2016,1,NSIC RC 442,91,0.6,35.8,84,4550,664.3
2016,1,NSIC RC 510,88,0.6,35.8,84,7040,633.6
,,,,,,,,
2016,2,NSIC RC 222,35,9.3,34.8,87,2800,273
2016,2,NSIC RC 192,142,9.3,34.8,87,8520,752.6
2016,2,NSIC RC 11,194,9.3,34.8,87,11640,853.6
2016,2,NSIC RC 120,86,9.3,34.8,87,6880,455.8
2016,2,NSIC RC 396,45,9.3,34.8,87,2700,265.5
2016,2,NSIC RC 350,79,9.3,34.8,87,6320,576.7
2016,2,NSIC RC 410,64,9.3,34.8,87,5120,524.8
2016,2,NSIC RC 100,87,9.3,34.8,87,6960,435
2016,2,NSIC RC 102,10,9.3,34.8,87,600,60
2016,2,NSIC RC 242,22,9.3,34.8,87,1760,94.6
2016,2,NSIC RC 56,73,9.3,34.8,87,4380,394.2
2016,2,NSIC RC 12,141,9.3,34.8,87,7050,803.7
2016,2,NSIC RC 42,49,9.3,34.8,87,3430,225.4
2016,2,NSIC RC 442,129,9.3,34.8,87,6450,1070.7
2016,2,NSIC RC 510,33,9.3,34.8,87,2640,171.6
,,,,,,,,
2016,3,NSIC RC 222,54,4.1,35.5,79,4320,453.6
2016,3,NSIC RC 192,86,4.1,35.5,79,5160,344
2016,3,NSIC RC 11,79,4.1,35.5,79,4740,347.6
2016,3,NSIC RC 120,142,4.1,35.5,79,11360,852
2016,3,NSIC RC 396,94,4.1,35.5,79,5640,658
2016,3,NSIC RC 350,135,4.1,35.5,79,10800,918
2016,3,NSIC RC 410,117,4.1,35.5,79,9360,760.5
2016,3,NSIC RC 100,78,4.1,35.5,79,6240,351
2016,3,NSIC RC 102,108,4.1,35.5,79,6480,464.4
2016,3,NSIC RC 242,122,4.1,35.5,79,9760,536.8
2016,3,NSIC RC 56,95,4.1,35.5,79,5700,655.5
2016,3,NSIC RC 12,101,4.1,35.5,79,5050,575.7
2016,3,NSIC RC 42,32,4.1,35.5,79,2240,147.2
2016,3,NSIC RC 442,129,4.1,35.5,79,6450,980.4
2016,3,NSIC RC 510,133,4.1,35.5,79,10640,824.6
,,,,,,,,
